model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,256x32,256,32,8192,64,1000,131072,8294222498892644.0,8294222498892644.0,8294222498.892644,129597226.54519756,0.9955768610140925,3.960595499639112e+17,8294222498892644.0,47.7512569763819,124.52699439980857,prefill
llama_3_1_405b,256x32,256,32,8192,128,1000,131072,1.496053347569428e+16,1.496053347569428e+16,14960533475.694279,116879167.77886155,1.1039092975415157,7.095828811024957e+17,1.496053347569428e+16,47.43031939705384,124.5840476481735,prefill
llama_3_1_405b,256x32,256,32,8192,256,1000,131072,2.829315542929755e+16,2.829315542929755e+16,28293155429.297558,110520138.39569359,1.1674252482208927,1.3713074529249526e+18,2.829315542929755e+16,48.467816053665196,124.61257427235594,prefill
llama_3_1_405b,256x32,256,32,8192,512,1000,131072,5.658580617372342e+16,5.658580617372342e+16,56585806173.723434,110519152.68305358,1.1674356604055276,2.7178744000670597e+18,5.658580617372342e+16,48.03102728134588,125.7764804835587,prefill
llama_3_1_405b,256x64,256,64,16384,32,1000,131072,2481228875306477.5,2481228875306477.5,2481228875.3064775,77538402.35332742,1.6640012701327365,2.4684572340912128e+17,2481228875306477.5,99.48526952340553,231.8878781236614,prefill
llama_3_1_405b,256x64,256,64,16384,64,1000,131072,4148249647131611.0,4148249647131611.0,4148249647.131611,64816400.73643142,1.9906072928156184,3.960595499639112e+17,4148249647131611.0,95.47630534670795,249.05398879961714,prefill
llama_3_1_405b,256x64,256,64,16384,128,1000,131072,7482543533217718.0,7482543533217718.0,7482543533.217715,58457371.3532634,2.207146797968315,7.095828811024957e+17,7482543533217718.0,94.83177450988433,249.168095296347,prefill
llama_3_1_405b,256x64,256,64,16384,256,1000,131072,1.4151131305389932e+16,1.4151131305389932e+16,14151131305.389933,55277856.661679424,2.3340991816971806,1.3713074529249526e+18,1.4151131305389932e+16,96.90443988761834,249.22514854471189,prefill
llama_3_1_405b,256x64,256,64,16384,512,1000,131072,2.8302010268344024e+16,2.8302010268344024e+16,28302010268.344025,55277363.80535942,2.334119992666699,2.7178744000670597e+18,2.8302010268344024e+16,96.03114316960797,251.5529609671174,prefill
llama_3_1_405b,256x128,256,128,32768,32,1000,131072,1241181389699370.8,1241181389699370.8,1241181389.6993709,38786918.42810534,3.326482361292927,2.4684572340912128e+17,1241181389699370.8,198.87965244863227,463.7757562473228,prefill
llama_3_1_405b,256x128,256,128,32768,64,1000,131072,2075258727658069.8,2075258727658069.8,2075258727.6580698,32425917.61965734,3.9790392831252572,3.960595499639112e+17,2075258727658069.5,190.84827577661343,498.1079775992343,prefill
llama_3_1_405b,256x128,256,128,32768,128,1000,131072,3743539574793387.5,3743539574793387.5,3743539574.793387,29246402.928073335,4.411619449999136,7.095828811024957e+17,3743539574793387.0,189.54865226492467,498.336190592694,prefill
llama_3_1_405b,256x128,256,128,32768,256,1000,131072,7080101269064023.0,7080101269064023.0,7080101269.064024,27656645.582281344,4.665207847283591,1.3713074529249526e+18,7080101269064022.0,193.68472297377707,498.45029708942377,prefill
llama_3_1_405b,256x128,256,128,32768,512,1000,131072,1.4160076366910126e+16,1.4160076366910126e+16,14160076366.910128,27656399.154121343,4.665249415912227,2.7178744000670597e+18,1.4160076366910124e+16,191.9392473347323,503.1059219342348,prefill
llama_3_1_405b,256x256,256,256,65536,32,1000,131072,760227463888486.4,964080789810790.4,964080789.8107904,30127524.6815872,4.282595445979489,2.4684572340912128e+17,760227463888486.4,324.69982358507605,916.9581751720408,prefill
llama_3_1_405b,256x256,256,256,65536,64,1000,131072,1316902901906636.8,1521185209969868.8,1521185209.9698687,23768518.905779198,5.428356748330181,3.960595499639112e+17,1316902901906636.8,300.7507610397765,984.0061293178459,prefill
llama_3_1_405b,256x256,256,256,65536,128,1000,131072,2430316863551897.5,2635394050288025.5,2635394050.2880244,20589016.01787519,6.266642363480731,7.095828811024957e+17,2430316863551897.5,291.97134404336214,984.4569612548017,prefill
llama_3_1_405b,256x256,256,256,65536,256,1000,131072,4657144786842419.0,4863811730924339.0,4863811730.924339,18999264.5739232,6.79099969885611,1.3713074529249526e+18,4657144786842419.0,294.45239855957107,984.6823772232798,prefill
llama_3_1_405b,256x256,256,256,65536,512,1000,131072,9314226488075878.0,9570375591646822.0,9570375591.64682,18692139.827435195,6.902580506626981,2.7178744000670597e+18,9314226488075878.0,291.7981867357957,993.7656988859818,prefill
llama_3_1_405b,256x512,256,512,131072,32,1000,131072,519726620354718.6,962948317212467.1,962948317.2124672,30092134.9128896,4.287631980033897,2.4684572340912128e+17,519726620354718.7,474.9530113363186,1926.7267273844577,prefill
llama_3_1_405b,256x512,256,512,131072,64,1000,131072,937707713614141.2,1518920264773222.2,1518920264.7732222,23733129.137081597,5.4364512683836415,3.960595499639112e+17,937707713614141.4,422.36993917582964,1926.6693334484005,prefill
