model,array_dim,array_m,array_n,pe_count,batch_size,frequency,max_seq_len,cycle_count,llama_cycle_count,runtime_ms,runtime_ms_per_sequence,throughput_tokens_per_s,total_data_moved,window_cycle_count,average_bandwidth,peak_bandwidth,peak_phase
llama_3_1_405b,128x64,128,64,8192,64,2000,131072,3.041e+15,3.041e+15,1.520e+09,2.376e+07,5.431e+00,4.036e+17,3.041e+15,265.5,460.8,prefill
llama_3_1_405b,128x64,128,64,8192,128,2000,131072,5.266e+15,5.266e+15,2.633e+09,2.057e+07,6.272e+00,7.465e+17,5.266e+15,283.5,495.5,prefill
llama_3_1_405b,128x64,128,64,8192,256,2000,131072,1.053e+16,1.053e+16,5.266e+09,2.057e+07,6.272e+00,1.501e+18,1.053e+16,285.0,495.6,prefill
llama_3_1_405b,128x64,128,64,8192,512,2000,131072,2.107e+16,2.107e+16,1.053e+10,2.057e+07,6.272e+00,3.055e+18,2.107e+16,290.1,495.7,prefill
llama_3_1_405b,128x128,128,128,16384,32,2000,131072,9.642e+14,1.925e+15,9.626e+08,3.008e+07,4.289e+00,2.473e+17,9.642e+14,513.0,808.5,prefill
llama_3_1_405b,128x128,128,128,16384,64,2000,131072,1.521e+15,3.037e+15,1.518e+09,2.372e+07,5.439e+00,4.036e+17,1.521e+15,530.7,921.7,prefill
llama_3_1_405b,128x128,128,128,16384,128,2000,131072,2.634e+15,5.259e+15,2.630e+09,2.054e+07,6.280e+00,7.465e+17,2.634e+15,566.7,991.0,prefill
llama_3_1_405b,128x128,128,128,16384,256,2000,131072,5.269e+15,9.982e+15,4.991e+09,1.950e+07,6.618e+00,1.501e+18,5.269e+15,569.7,991.2,prefill
llama_3_1_405b,128x128,128,128,16384,512,2000,131072,1.054e+16,2.040e+16,1.020e+10,1.993e+07,6.475e+00,3.055e+18,1.054e+16,579.9,991.4,prefill
llama_3_1_405b,128x256,128,256,32768,32,2000,131072,6.210e+14,1.925e+15,9.626e+08,3.008e+07,4.289e+00,2.473e+17,6.210e+14,796.4,1821.2,prefill
llama_3_1_405b,128x256,128,256,32768,64,2000,131072,1.038e+15,3.037e+15,1.518e+09,2.372e+07,5.439e+00,4.036e+17,1.038e+15,777.3,1957.0,prefill
llama_3_1_405b,128x256,128,256,32768,128,2000,131072,1.873e+15,5.259e+15,2.630e+09,2.054e+07,6.280e+00,7.465e+17,1.873e+15,796.9,1957.4,prefill
llama_3_1_405b,128x256,128,256,32768,256,2000,131072,3.747e+15,9.982e+15,4.991e+09,1.950e+07,6.618e+00,1.501e+18,3.747e+15,801.1,1957.9,prefill
llama_3_1_405b,128x256,128,256,32768,512,2000,131072,7.494e+15,2.040e+16,1.020e+10,1.992e+07,6.478e+00,3.055e+18,7.494e+15,815.4,1976.4,prefill
