gemm_class,model,array_dim,batch_size,max_seq_len,frequency,asram_size,wsram_size,osram_size,isram_active_elements,wsram_active_elements,active_fraction,input_data_moved,weight_data_moved,output_read_data_moved,output_write_data_moved,output_data_moved,total_data_moved,array_cycle_count,sram_cycle_count,window_cycle_count,sram_stall_cycle_count,dram_cycle_count,dram_stall_cycle_count,input_dram_bandwidth,weight_dram_bandwidth,output_dram_bandwidth,total_required_bandwidth
attention,deepseek_v4,256x512,256,1048576,1000,79691776,79691776,79691776,2490368,2490368,0.5,2142513297096704.0,8.790992944686432e+18,2664960098304.0,2145178257195008.0,2147843217293312.0,8.795283301200822e+18,8594683253826254.0,8588140939837440.0,8594683253826254.0,0.0,3.4339830154133504e+16,2.5745182128004404e+16,0.24928356680775662,1022.8408290407659,0.24990370835796855,1023.3400163159316
attention,deepseek_v4,256x512,256,1048576,1000,81788928,81788928,81788928,2555904,2555904,0.5,2142513297096704.0,8.790992944686432e+18,2650632355840.0,2145163929452544.0,2147814561808384.0,8.795283272545337e+18,8594684237259470.0,8588140939837440.0,8594684237259470.0,0.0,3.433983009816576e+16,2.5745182128004404e+16,0.24928353828387687,1022.8407120038138,0.24990034566915553,1023.3398958877669
attention,deepseek_v4,256x512,256,1048576,1000,83886080,83886080,83886080,2621440,2621440,0.5,2142513297096704.0,8.790992944686432e+18,2636304613376.0,2145149601710080.0,2147785906323456.0,8.795283243889852e+18,8594683925439182.0,8588140939837440.0,8594683925439182.0,0.0,3.4339830042198016e+16,2.5745182128004404e+16,0.24928354732803312,1022.8407491130883,0.24989702064159452,1023.339929681058
proj/ffn,deepseek_v4,256x512,256,1048576,1000,10485760,10485760,10485760,327680,327680,0.5,1.5491834405453824e+16,7.421169290870784e+16,4.92471866711081e+16,5.283633836903629e+16,1.0208352504014438e+17,1.9178705235430605e+17,73329020491776.0,73328974888960.0,73329020491776.0,0.0,291466897482752.0,218137876990976.0,211.26471213659897,1012.0371499716247,1392.1299419456075,2615.431804053831
proj/ffn,deepseek_v4,256x512,256,1048576,1000,12582912,12582912,12582912,393216,393216,0.5,1.0641866291150848e+16,7.42101596272722e+16,4.498447426650112e+16,4.857362596442931e+16,9.355810023093043e+16,1.7841012614935347e+17,73329000313856.0,73328974888960.0,73329000313856.0,0.0,291466893752320.0,218137893438464.0,145.12493345882962,1012.0165188349048,1275.8676625958587,2433.009114889593
proj/ffn,deepseek_v4,256x512,256,1048576,1000,14680064,14680064,14680064,458752,458752,0.5,1.0211973764743168e+16,7.420905900097536e+16,4.072176186189414e+16,4.431091355982234e+16,8.503267542171648e+16,1.69453708187435e+17,73329043293184.0,73328974888960.0,73329043293184.0,0.0,291466890021888.0,218137846728704.0,139.26233462386355,1012.0009162573263,1159.6043205110293,2310.8675713922194
proj/ffn,deepseek_v4,256x512,256,1048576,1000,16777216,16777216,16777216,524288,524288,0.5,9154215215628288.0,7.420822853035622e+16,3.645904945728717e+16,4.004820115521536e+16,7.650725061250253e+16,1.5986969435848704e+17,73328974888960.0,73328974888960.0,73328974888960.0,0.0,291466886291456.0,218137911402496.0,124.83762700201738,1011.9905350201287,1043.3426995039179,2180.170861526064
proj/ffn,deepseek_v4,256x512,256,1048576,1000,18874368,18874368,18874368,589824,589824,0.5,8802509911228416.0,7.420759982437171e+16,3.219633705268019e+16,3.5785488750608384e+16,6.798182580328858e+16,1.509919355388887e+17,73329066094592.0,73328974888960.0,73329066094592.0,0.0,291466882561024.0,218137816466432.0,120.04121121457457,1011.9807025586067,927.0788436824539,2059.100757455635
proj/ffn,deepseek_v4,256x512,256,1048576,1000,20971520,20971520,20971520,655360,655360,0.5,7999125701787648.0,7.420708360647475e+16,2.7933624648073216e+16,3.152277634600141e+16,5.945640099407462e+16,1.4166261030233702e+17,73329020491776.0,73328974888960.0,73329020491776.0,0.0,291466878830592.0,218137858338816.0,109.0854023160553,1011.9742921535033,810.8167897966506,1931.8764842662092
proj/ffn,deepseek_v4,256x512,256,1048576,1000,23068672,23068672,23068672,720896,720896,0.5,7724510254202880.0,7.420667927504486e+16,2.367091224346624e+16,2.726006394139443e+16,5.093097618486067e+16,1.3286216571410842e+17,73329059503616.0,73328974888960.0,73329059503616.0,0.0,291466875100160.0,218137815596544.0,105.34036992281307,1011.9682398406541,694.5537898566553,1811.8623996201222
proj/ffn,deepseek_v4,256x512,256,1048576,1000,25165824,25165824,25165824,786432,786432,0.5,5557062121553920.0,7.42063203238871e+16,1.9408199838859264e+16,2.2997351536787456e+16,4.240555137564672e+16,1.2216893382108774e+17,73329066094592.0,73328974888960.0,73329066094592.0,0.0,291466871369728.0,218137805275136.0,75.78252959591084,1011.9632538093897,578.2911693017473,1666.036952707048
proj/ffn,deepseek_v4,256x512,256,1048576,1000,27262976,27262976,27262976,851968,851968,0.5,5517831299923968.0,7.420602844043674e+16,1.8308365238665216e+16,2.189751693659341e+16,4.020588217525862e+16,1.1992974191561933e+17,73329111697408.0,73328974888960.0,73329111697408.0,0.0,291466867639296.0,218137755941888.0,75.2474859192793,1011.9586440191355,548.2935936980647,1635.4997236364795
proj/ffn,deepseek_v4,256x512,256,1048576,1000,29360128,29360128,29360128,917504,917504,0.5,5231632689397760.0,7.420578137574605e+16,1.7208530638471168e+16,2.079768233639936e+16,3.800621297487053e+16,1.1744362704001434e+17,73329049414656.0,73328974888960.0,73329049414656.0,0.0,291466863908864.0,218137814494208.0,71.34461350800129,1011.9561342754134,518.2968179494002,1601.597565732815
proj/ffn,deepseek_v4,256x512,256,1048576,1000,31457280,31457280,31457280,983040,983040,0.5,5209959718846464.0,7.420555704129946e+16,1.610869603827712e+16,1.969784773620531e+16,3.580654377448243e+16,1.1522206053462835e+17,73329134498816.0,73328974888960.0,73329134498816.0,0.0,291466860178432.0,218137725679616.0,71.04897329629038,1011.9519008164158,488.29900992572846,1571.2998840384346
proj/ffn,deepseek_v4,256x512,256,1048576,1000,33554432,33554432,33554432,1048576,1048576,0.5,5180018946736128.0,7.420535531677286e+16,1.5008861438083072e+16,1.8598013136011264e+16,3.3606874574094336e+16,1.1299224883760333e+17,73328974888960.0,73328974888960.0,73328974888960.0,0.0,291466856448000.0,218137881559040.0,70.64082042030567,1011.9513525061539,458.30280083669896,1540.8949737631585
proj/ffn,deepseek_v4,256x512,256,1048576,1000,35651584,35651584,35651584,1114112,1114112,0.5,5159031829430272.0,7.42051978494935e+16,1.3909026837889024e+16,1.7498178535817216e+16,3.140720537370624e+16,1.1077143505263002e+17,73328993722880.0,73328974888960.0,73328993722880.0,0.0,291466852717568.0,218137858994688.0,70.35459737695213,1011.9489451870129,428.30541889608133,1510.6089614600464
proj/ffn,deepseek_v4,256x512,256,1048576,1000,37748736,37748736,37748736,1179648,1179648,0.5,5133907055083520.0,7.42050409437266e+16,1.2809192237694976e+16,1.6398343935623168e+16,2.9207536173318144e+16,1.0854648417212826e+17,73329066094592.0,73328974888960.0,73329066094592.0,0.0,291466848987136.0,218137782892544.0,70.01189744406338,1011.9458067010512,398.3077615585806,1480.265465703695
proj/ffn,deepseek_v4,256x512,256,1048576,1000,39845888,39845888,39845888,1245184,1245184,0.5,5113331449724928.0,7.42049062869074e+16,1.1709357637500928e+16,1.529850933542912e+16,2.700786697293005e+16,1.0632610470956237e+17,73329066094592.0,73328974888960.0,73329066094592.0,0.0,291466845256704.0,218137779162112.0,69.7313046797692,1011.9439703648427,368.3105269347194,1449.9858019793312
proj/ffn,deepseek_v4,256x512,256,1048576,1000,41943040,41943040,41943040,1310720,1310720,0.5,5089441211219968.0,7.42047937587118e+16,1.060952303730688e+16,1.4198674735235072e+16,2.480819777254195e+16,1.0410243274247373e+17,73329029236736.0,73328974888960.0,73329029236736.0,0.0,291466841526272.0,218137812289536.0,69.40554462802416,1011.9429444394865,338.3134623595108,1419.6619514270214
proj/ffn,deepseek_v4,256x512,256,1048576,1000,44040192,44040192,44040192,1376256,1376256,0.5,5069277117808640.0,7.420468163159654e+16,9509688437112832.0,1.3098840135041024e+16,2.2608528572153856e+16,1.0188248732155904e+17,73329202903040.0,73328974888960.0,73329202903040.0,0.0,291466837795840.0,218137634892800.0,69.1303998559963,1011.939018752381,308.3154824694893,1389.3849010778667
proj/ffn,deepseek_v4,256x512,256,1048576,1000,46137344,46137344,46137344,1441792,1441792,0.5,5046621415145472.0,7.420459147267277e+16,8409853836918784.0,1.1999005534846976e+16,2.040885937176576e+16,9.9660072259584e+16,73329189721088.0,73328974888960.0,73329189721088.0,0.0,291466834065408.0,218137644344320.0,68.82145342585403,1011.9379711532939,278.31835384233875,1359.0777784214868
proj/ffn,deepseek_v4,256x512,256,1048576,1000,48234496,48234496,48234496,1507328,1507328,0.5,5026868833681408.0,7.420450163461325e+16,7310019236724736.0,1.0899170934652928e+16,1.8209190171377664e+16,9.744056063967232e+16,73329224360448.0,73328974888960.0,73329224360448.0,0.0,291466830334976.0,218137605974528.0,68.55205243917429,1011.9362679995473,248.3210524888527,1328.8093729275745
proj/ffn,deepseek_v4,256x512,256,1048576,1000,50331648,50331648,50331648,1572864,1572864,0.5,5006560057098240.0,7.420441211741798e+16,6210184636530688.0,9799336334458880.0,1.6009520970989568e+16,9.52204931455058e+16,73329076588544.0,73328974888960.0,73329076588544.0,0.0,291466826604544.0,218137750016000.0,68.27523664576462,1011.9370864818817,218.32432257152809,1298.5366456991744
