carbon,layer,arch,subarch,arch_dim,model
0.0001589550211467297,ffn,simd,mac,16x16,llama_2_70b_GQA
1.519736600190408e-05,nonlinear,simd,mac,16x16,llama_2_70b_GQA
3.619762255851565e-05,onchip_em,simd,mac,16x16,llama_2_70b_GQA
7.195537515655581e-06,projection,simd,figna,16x16,llama_2_7b
1.2757129580763705e-05,attention,simd,figna,16x16,llama_2_7b
1.4503435102933378e-05,ffn,simd,figna,16x16,llama_2_7b
3.144946420599085e-06,nonlinear,simd,figna,16x16,llama_2_7b
6.0652433250135545e-06,onchip_em,simd,figna,16x16,llama_2_7b
1.3687125825784092e-05,projection,simd,figna,16x16,llama_2_13b
1.9833835355049346e-05,attention,simd,figna,16x16,llama_2_13b
2.771634139461884e-05,ffn,simd,figna,16x16,llama_2_13b
4.91726198345305e-06,nonlinear,simd,figna,16x16,llama_2_13b
1.0817754028115776e-05,onchip_em,simd,figna,16x16,llama_2_13b
6.632396830460366e-05,projection,simd,figna,16x16,llama_2_70b
6.283352358878547e-05,attention,simd,figna,16x16,llama_2_70b
0.0001741002087934812,ffn,simd,figna,16x16,llama_2_70b
1.640763796652746e-05,nonlinear,simd,figna,16x16,llama_2_70b
5.4149447536265485e-05,onchip_em,simd,figna,16x16,llama_2_70b
3.7307232171339554e-05,projection,simd,figna,16x16,llama_2_70b_GQA
8.241727068160087e-06,attention,simd,figna,16x16,llama_2_70b_GQA
0.0001741002087934812,ffn,simd,figna,16x16,llama_2_70b_GQA
1.640763796652746e-05,nonlinear,simd,figna,16x16,llama_2_70b_GQA
3.950078172709339e-05,onchip_em,simd,figna,16x16,llama_2_70b_GQA
