flops,execution_time,cycle_count,throughput,energy_efficiency,power_efficiency,layer,arch,subarch,arch_dim,model,flops_baseline,execution_time_baseline,cycle_count_baseline
1375.05538048,82.16555520000006,32866222080.000023,1.3091931934027774,0.9299925161789848,0.8879443088168326,attention,carat,,256x8,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,69.00940800000001,27603763200.0,1.9846153846153844,1.2731438500672003,1.0070161604777073,ffn,carat,,256x8,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,87.24152320000002,34896609280.0,1.9846153846153844,0.4996599629811098,1.0070665920549504,projection,carat,,256x8,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,131.4648883200001,52585955328.000046,1.3091931934027774,0.5812453226118655,0.8879443088168326,attention,carat,,256x8,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,229.00899840000002,91603599360.0,1.9846153846153844,0.3836624531493917,1.0070534194799252,ffn,carat,,256x8,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,49.0733568,19629342720.0,1.9846153846153851,0.8882843786330846,1.0070665920549506,projection,carat,,256x8,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,16.446873600000014,6578749440.000006,10.464781401372251,11.850542395061247,2.2648427980554438,attention,carat,,256x8,llama_2_70b_GQA,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,229.00899840000002,91603599360.0,1.9846153846153844,0.3836624531493917,1.0070534194799252,ffn,carat,,256x8,llama_2_70b_GQA,9003.32519424,87.24676608,34898706432.0
4466.76598784,43.285217280000005,17314086912.0,1.0,1.0,1.0,projection,systolic,mac,16x16,llama_2_7b,4466.76598784,43.285217280000005,17314086912.0
1100.044304384,86.05646848000022,34422587392.00008,1.0,1.0,1.0,attention,systolic,mac,16x16,llama_2_7b,1100.044304384,86.05646848000022,34422587392.00008
9003.32519424,87.24676608,34898706432.0,1.0,1.0,1.0,ffn,systolic,mac,16x16,llama_2_7b,9003.32519424,87.24676608,34898706432.0
6979.321856,67.633152,27053260800.0,1.0000000000000002,0.6400187251247674,1.000029258007449,projection,systolic,mac,16x16,llama_2_13b,4466.76598784,43.285217280000005,17314086912.0
1375.05538048,107.57058560000026,43028234240.0001,1.0,0.7999999984808582,0.9999999981010729,attention,systolic,mac,16x16,llama_2_13b,1100.044304384,86.05646848000022,34422587392.00008
14133.1267584,136.95713279999998,54782853120.0,1.0000000000000002,0.6370518175768665,1.0000232020101973,ffn,systolic,mac,16x16,llama_2_13b,9003.32519424,87.24676608,34898706432.0
17867.06395136,173.14086912000002,69256347648.0,1.0,0.2500182870572199,1.0000731482288798,projection,systolic,mac,16x16,llama_2_70b,4466.76598784,43.285217280000005,17314086912.0
2200.088608768,172.11293696000044,68845174784.00015,1.0,0.4999999988245666,0.9999999976491336,attention,systolic,mac,16x16,llama_2_70b,1100.044304384,86.05646848000022,34422587392.00008
46901.04287232,454.49478144000005,181797912576.0,1.0,0.1919757930765568,1.0000599453290402,ffn,systolic,mac,16x16,llama_2_70b,9003.32519424,87.24676608,34898706432.0
10050.22347264,97.39173888,38956695552.0,1.0000000000000002,0.444476954768391,1.0000731482288798,projection,systolic,mac,16x16,llama_2_70b_GQA,4466.76598784,43.285217280000005,17314086912.0
